country,country3,HDIrank,HDIindex,HDI_cat,SPI,happiness,genderequality_index,birth_MF,sixty_MF,GDP_USD_2018,hoursworked,incomeineq,infantmort,oophcspend,tertiaryed
Nicaragua,NIC,124,0.6566258270342807,Medium,62.47,6.012739658355713,0.77953803571385205,75.5,22.8,13184989878,NA,NA,NA,NA,NA
Niger,NER,189,0.35094402168132993,Low,36.87,4.234645843505859,NA,59.8,16.2,7606749314,NA,NA,NA,NA,NA
Nigeria,NGA,157,0.5302561405141523,Low,48.12,5.219567775726318,0.64287026391407098,55.2,13.9,404653e6,NA,NA,NA,NA,NA
North Korea,PRK,NA,NA,NA,NA,NA,NA,71.9,17.8,NA,NA,NA,NA,NA,NA
Northern Mariana Islands,MNP,NA,NA,NA,NA,NA,NA,NA,NA,1242e6,NA,NA,NA,NA,NA
Norway,NOR,1,0.9512483553214962,Very high,89.55,7.596331596374512,0.84195123043360598,82.5,24.7,371075e6,1424.4,0.272,2.2,896.625,43.016758
Oman,OMN,48,0.82217866506432,Very high,67.72,NA,0.61217367284395297,77,21.2,66824447334,NA,NA,NA,NA,NA
Pakistan,PAK,150,0.5595986310062098,Medium,46.61,5.548508167266846,0.55590544989257595,66.5,17.8,278655e6,NA,NA,NA,NA,NA
Palau,PLW,60,0.7975219363566179,High,NA,NA,NA,NA,NA,302699800,NA,NA,NA,NA,NA
Palestinian Territories,PSE,119,0.6890255336500877,Medium,NA,4.906618118286133,NA,NA,NA,134257e5,NA,NA,NA,NA,NA
Panama,PAN,66,0.7848489537681295,High,71.91,6.117638111114502,0.72070227405985399,78,24,57820916600,NA,NA,NA,NA,NA
Papua New Guinea,PNG,153,0.5428877007279085,Low,35.83,NA,NA,65.9,16.9,19904808312,NA,NA,NA,NA,NA
Paraguay,PRY,110,0.7015358727488171,High,63.69,5.801380157470703,0.67636225605630396,74.2,21.2,27424071373,NA,NA,NA,NA,NA
Peru,PER,89,0.7478389874409244,High,68.75,5.700628757476807,0.68678170812875206,75.9,21.6,19164e7,NA,NA,NA,NA,NA
Philippines,PHL,113,0.6957943328974255,Medium,62.68,5.430832862854004,0.78634466573362904,69.3,17.6,304889e6,NA,NA,NA,NA,NA
Poland,POL,33,0.8604198352360831,Very high,81.69,6.162076473236084,0.72673997265858303,77.8,21.8,4714e8,1928,0.292,4,409.388,28.711193
